,word,frequency
804,episode,1
805,episodes,1
806,equal,1
807,established,1
808,even,4
809,everyday;,1
810,everyone,2
811,everything,1
812,evidence,1
813,exciting,1
814,experience,2
815,exterior,1
816,extra,2
817,family,2
818,"family,",1
819,family..Â Winners,1
820,famous,1
821,fan,1
822,"farms,",1
823,faves!,1
824,favorite,1
825,favourite,4
826,favouriteÂ @allthingschocolates,1
827,feed,1
828,festivals,1
829,few,2
830,filling,1
831,"filling,",1
832,finalising,1
833,find,3
834,first,2
835,flame,4
836,flame.,1
837,flavor,2
838,flavorings,1
839,flavour.,1
840,fluffy,1
841,focus,1
842,foil,2
843,follow,1
844,following,1
845,food,11
846,food.There,1
847,for,38
848,form,1
849,free,1
850,fresh,2
851,fridge,2
852,friend,1
853,friendly,3
854,friends,3
855,from,9
856,front,1
857,fruits,1
858,"fruits,",1
859,fry,3
860,fry.,1
861,frying,1
862,fryingKachampulli,1
863,fudge,1
864,fudge!@cheftejasvichandela,1
865,fudge/brigadeiroIn,1
866,full,3
867,fully,1
868,fun,1
869,further,1
870,fusion,1
871,"future!!..Yep,",1
872,garlic,3
873,garnish,1
874,gesture.,1
875,get,2
876,get.,1
877,ghar,1
878,ginger,1
879,give,4
880,giving,1
881,glad,1
882,glassGarnish,1
883,go,3
884,go-to,1
885,goes,1
886,going,1
887,golden,1
888,gonna,1
889,good,3
890,good.,1
891,gorge,1
892,gourmet,1
893,gram,1
894,great,2
895,green,2
896,grindGinger-,1
897,guests,1
898,guide,1
899,gulabjamunğŸ¤—ğŸ¤—..,1
900,"guys,",1
901,habibi,1
902,habit,1
903,had,6
904,"had,",1
905,haldi.,1
906,half,2
907,half)Black,1
908,hand,1
909,handling,1
910,hands,2
911,happiness,1
912,happy,1
913,has,6
914,hash,1
915,have,14
916,haven't,2
917,he,1
918,heading,1
919,healthy,3
920,"healthy,",1
921,heaped,1
922,heat,1
923,heat.6.,1
924,heaven!,1
925,help,2
926,her,1
927,here,4
928,"here,",1
929,here.ğŸ¤—ğŸ¤—.,1
930,hidden,2
931,high,1
932,hilarious,1
933,his,3
934,home,7
935,home!,1
936,home.,1
937,home.An,1
938,homes,2
939,host,1
940,hot,3
941,hotğŸ¤—ğŸ¤—.,1
942,hour,1
943,"hours,",1
944,hours.,1
945,hours.8),1
946,how,2
947,hum,1
948,humble,1
949,hummus,1
950,hundreds,1
951,hurry,1
952,hygiene,2
953,i,7
954,i'm,2
955,icing,1
956,iconic,1
957,idea,2
958,ideal,1
959,ideas,1
960,if,6
961,iftaar,1
962,in,71
963,in!,1
964,in.,1
965,incorporate,2
966,indulgent,1
967,indulging,1
968,ingredient,1
969,ingredient!,1
970,ingredients,5
971,injured,1
972,insane,1
973,insanely,1
974,instead,2
975,intense,1
976,intervals,1
977,into,7
978,is,39
979,issue,1
980,it,38
981,it's,3
982,it).,1
983,"it,",1
984,it.,2
985,it.â¤ğŸ¤—.,1
986,its,3
987,itâ€™s,2
988,jar,1
989,join,1
990,juice,2
991,just,5
992,kachampulli,1
993,kadhai.2),1
994,karenge,1
995,ke,1
996,keep,2
997,keeps,1
998,ketchup,1
999,kg,1
1000,kheer,4
1001,kheer.ğŸ‘ğŸ»ğŸ‘ğŸ».,1
1002,ki,2
1003,kicking,1
1004,kids,2
1005,kids.,2
1006,kills,1
1007,kitchen,5
1008,knead,1
1009,know,2
1010,know.,1
1011,kulche,1
1012,kulche.,1
1013,last,1
1014,late,1
1015,leaf,2
1016,"leaf..tasty,",1
1017,least,2
1018,leaves,2
1019,leaves.,1
1020,leavesÂ Lemon,1
1021,left,1
1022,let,5
1023,life,1
1024,life.,1
1025,"lifting,",1
1026,like,8
1027,lime.Tip,1
1028,limited,1
1029,line,1
1030,liquid,1
1031,liquid.,1
1032,lit)..,1
1033,literally,1
1034,little,3
1035,"little,",1
1036,lives,1
1037,loads,1
1038,local,1
1039,lock,2
1040,lockdown,2
1041,locked,1
1042,long,2
1043,long-standing,1
1044,longer,2
1045,looking,1
1046,lot,1
1047,lots,1
1048,love,6
1049,loves,1
1050,loveâ¤â¤â¤â¤.Tag,1
1051,low,1
1052,made,2
1053,maida,1
1054,major,1
1055,make,12
1056,makes,1
1057,making,1
1058,malabar,1
1059,manayenge,1
1060,mango,2
1061,many,3
1062,marathon,1
1063,marinated,1
1064,masala,4
1065,massacre,1
1066,match,1
1067,materials,1
1068,me,2
1069,me.,1
1070,meals.,1
1071,meat,3
1072,"meat,",1
1073,medium,5
1074,melt,1
1075,melt-in-mouth,1
1076,menu,2
1077,milk,7
1078,milk-450g,1
1079,milk.,1
1080,mine.,1
1081,minimum,1
1082,minute)â–ªHashtags,1
1083,minutes,1
1084,minutes.,1
1085,minutes.8),1
1086,miss,3
1087,missing,3
1088,mistakenly,1
1089,mix,4
1090,mixing,1
1091,mixing.,1
1092,mixture,1
1093,mixture.,1
1094,mixture.6),1
1095,ml,4
1096,mlIceÂ Glass:,1
1097,moist.,1
1098,more,5
1099,"morning,",1
1100,most,2
1101,most-failed,1
1102,motorcycle,1
1103,mould/dish.2),1
1104,mould/dish.7),1
1105,"mountains,",1
1106,mouth.,1
1107,much,3
1108,music,1
1109,mutton,1
1110,"mutton,",1
1111,my,5
1112,nahi,1
1113,names,1
1114,near,1
1115,need,2
1116,new,2
1117,no,1
1118,not,10
1119,note,1
1120,notes,1
1121,nothing,2
1122,now,5
1123,now.,2
1124,now.Step,1
1125,"nowadays,",1
1126,nuts,1
1127,of,66
1128,off,1
1129,oil,3
1130,on,28
1131,once,1
1132,one,6
1133,one.,1
1134,onion,1
1135,onions,1
1136,only,2
1137,only.,1
1138,open,2
1139,opening,1
1140,operations,1
1141,or,14
1142,order,2
1143,ordering,1
1144,orders,1
1145,oreo,1
1146,other,1
1147,our,12
1148,out,9
1149,outlet!!,1
1150,outside,1
1151,over,1
1152,overburdened,1
1153,overflowing,1
1154,own,1
1155,owner,1
1156,packaging*As,1
1157,"packaging,",1
1158,palya,1
1159,pan,1
1160,"pan,",1
1161,pan.,1
1162,paneer,6
1163,pao,1
1164,paper,2
1165,particular,1
1166,partner!,1
1167,party,1
1168,paste,2
1169,"paste,",1
1170,pavs,1
1171,pending,1
1172,people,2
1173,pepper,1
1174,pepper.,1
1175,perfect,1
1176,phase,1
1177,pick-up,1
1178,pick-up!,1
1179,"pickle,",1
1180,pickles,1
1181,pictures,1
1182,pieces,1
1183,pinch,2
1184,pizza,9
1185,place,3
1186,plain,2
1187,planning:,1
1188,plastic,4
1189,plastic.,1
1190,plate.ğŸ¤¤,1
1191,plates,1
1192,platforms.,1
1193,plus,2
1194,point,1
1195,"politics,",1
1196,poori,1
1197,porchetta,1
1198,pork,1
1199,pot.,1
1200,potatoes,1
1201,powder,4
1202,powder.,1
1203,powder.3),1
1204,praising,1
1205,prefer,1
1206,preference,1
1207,prep,3
1208,preparation,1
1209,prepare,3
1210,prepared,1
1211,prepped,2
1212,pressure,1
1213,pro,1
1214,process,1
1215,proportions,1
1216,protein,1
1217,protocol,1
1218,protocols:,1
1219,proves,1
1220,pulled,1
1221,puree,1
1222,put,2
1223,quality.,1
1224,quality.Step,1
1225,quarantine,1
1226,quick,9
1227,quickly,1
1228,quickly.,1
1229,rabri,1
1230,raftaarJaate,1
1231,random,2
1232,ravioli?,1
1233,read,1
1234,really,5
1235,recipe,24
1236,recipe!..,1
1237,recipe!...,1
1238,"recipe,",3
1239,recipe.,3
1240,recipes,1
1241,recipes.Also,1
1242,recipeğŸ¤—ğŸ¤—.1),1
1243,recommended,1
1244,recommended.â¤ğŸ‘ğŸ».,1
1245,recommended.ğŸ‘ğŸ»ğŸ‘ğŸ».,1
1246,redeemed,1
1247,reduce,2
1248,referring,2
1249,refreshing,1
1250,regular,1
1251,regularly,2
1252,remain,1
1253,remaining,1
1254,remembered,1
1255,removed),1
1256,reopen,1
1257,replaced,1
1258,replacing,1
1259,require,1
1260,required,1
1261,requirement,1
1262,requires,2
1263,restaurant,4
1264,restaurant/,1
1265,restaurants,2
1266,restrictions,1
1267,result,1
1268,right,2
1269,right!,1
1270,risk,1
1271,"rivers,",1
1272,roadside,1
1273,roll,5
1274,"roll,",2
1275,roots.,1
1276,sabzi,2
1277,safe,1
1278,safe!,1
1279,safe.Step,1
1280,safety,3
1281,sale,1
1282,salt,4
1283,salt.Steps,1
1284,samosa,1
1285,samosa.,1
1286,"samosas,",1
1287,samosas.,1
1288,sanely,1
1289,sanitisation:,1
1290,sanitise,1
1291,sanitiser,2
1292,sauce,4
1293,"sauce,",1
1294,sauce.,3
1295,saucepan,1
1296,saucepan.,1
1297,savory,1
1298,schezwan,1
1299,seas..you,1
1300,season!,1
1301,second,1
1302,seconds,2
1303,secret,1
1304,see,2
1305,selection,1
1306,send,1
1307,separate,2
1308,separated,1
1309,series,1
1310,serve,3
1311,serve.,1
1312,served,5
1313,serves,1
1314,services,1
1315,serving,3
1316,"serving,",2
1317,set,1
1318,setting,1
1319,settle,1
1320,shaken,1
1321,shape,1
1322,shape.5),1
1323,shape.6),1
1324,share,1
1325,shares,1
1326,sharing,1
1327,show,1
1328,side.5),1
1329,similar,1
1330,simple,2
1331,sit,1
1332,size,1
1333,"skills,",1
1334,skip,1
1335,slab,1
1336,slathered,1
1337,sliceMethod,1
1338,slices(edges,1
1339,slow,1
1340,smoked,1
1341,smooth,2
1342,so,13
1343,soaking,1
1344,soft,1
1345,"soft,",1
1346,some,19
1347,something,2
1348,"sooji,",1
1349,soon,1
1350,soon!,1
1351,sounds,1
1352,sour,1
1353,special,1
1354,spicy,1
1355,spirit,1
1356,squeeze,1
1357,squeezing,1
1358,staff,2
1359,staff.Step,1
1360,stand,1
1361,start,2
1362,started,1
1363,starts,1
1364,stay,2
1365,steam,1
1366,still,3
1367,stock,1
1368,storyğŸ‘‡ğŸ»ğŸ‘‡ğŸ».'Masala,1
1369,storyğŸ‘‡ğŸ»ğŸ‘‡ğŸ».While,1
1370,street,1
1371,strength,1
1372,strict,1
1373,stuck,1
1374,style,2
1375,styles,2
1376,such,1
1377,sugar,3
1378,sugar.,1
1379,suggest,1
1380,summers.,1
1381,sunrise,1
1382,super,4
1383,sure,2
1384,surface,1
1385,sweet,1
1386,sweeter,1
1387,sweets,1
1388,swipe,1
1389,switch,1
1390,table.,1
1391,taco,1
1392,take,2
1393,takeaway,1
1394,taken,1
1395,takeout.Ps.,1
1396,tamarind,1
1397,taste,4
1398,taste.,1
1399,tasteOil,1
1400,tastiest,2
1401,tbsp,2
1402,tbspHaldi,1
1403,tbspMethod:,1
1404,tbspORRegular,1
1405,team,1
1406,technique,1
1407,temperature,2
1408,texture,1
1409,tez,1
1410,than,1
1411,that,17
1412,thatâ€™s,2
1413,the,143
1414,their,7
1415,them,8
1416,"them,",1
1417,them.,2
1418,there,2
1419,these,8
1420,these.,1
1421,they,3
1422,thi,1
1423,thick,3
1424,thicken.3),1
1425,things,1
1426,think,1
1427,thinking,1
1428,thirds!,1
1429,this,30
1430,this.,1
1431,thoroughly!,1
1432,those,1
1433,though,1
1434,thought,4
1435,through,1
1436,tikki,1
1437,tikkis,1
1438,tikkis.,1
1439,till,1
1440,time,5
1441,times,1
1442,tin,1
1443,tips,2
1444,tissues,1
1445,to,64
1446,today,1
1447,today!,1
1448,together,1
1449,together.7),1
1450,tonight's,1
1451,too??.Had,1
1452,top,1
1453,totally,1
1454,touch,1
1455,tradition,1
1456,traditional,1
1457,transmitted,1
1458,tried,2
1459,truffle,1
1460,try,4
1461,tspSalt,1
1462,turned,1
1463,turns,1
1464,under,1
1465,unsalted,1
1466,until,1
1467,up,5
1468,"up,",1
1469,up.,1
1470,upload,1
1471,upon,1
1472,us,5
1473,used,4
1474,used:,1
1475,using,4
1476,"usual,",1
1477,vegetables,1
1478,veggies,6
1479,version,5
1480,very,3
1481,via,1
1482,vibes,1
1483,video,3
1484,video!,1
1485,"video,",2
1486,viewers.,1
1487,views,1
1488,vinegar,2
1489,vinegar),1
1490,"vinegar,",1
1491,vinegar.,1
1492,virtualPehle,1
1493,virus,1
1494,"virus,",1
1495,visit,1
1496,visited,1
1497,visitors.For,1
1498,voucher,1
1499,vouchers?ğŸ˜ğŸ˜,1
1500,wait,2
1501,waiting,1
1502,wali,1
1503,want,4
1504,want.4),1
1505,wanting,1
1506,was,10
1507,wash,2
1508,waste,1
1509,watch,2
1510,watched,1
1511,water,1
1512,"water,",1
1513,water.5),1
1514,water/milk,1
1515,waterBasil,1
1516,way,1
1517,we,8
1518,week,1
1519,well,3
1520,well)..,1
1521,"well,",2
1522,well.,2
1523,went,1
1524,weâ€™ve,1
1525,what,2
1526,when,3
1527,where,1
1528,which,3
1529,while,5
1530,white,2
1531,who,2
1532,why,1
1533,will,6
1534,win,2
1535,wish.,1
1536,with,38
1537,with...,1
1538,worth,1
1539,would,6
1540,written,1
1541,year.,1
1542,years.ğŸ˜ğŸ˜¨.But,1
1543,yet,1
1544,yields,1
1545,you,30
1546,"you,",1
1547,your,29
1548,yourself,2
1549,yummy,1
1550,zaatar,1
1551,zomato/swiggy,1
1552,â€˜s,1
1553,â€¢,4
1554,âƒ	Add,1
1555,âƒ	Fry,1
1556,âƒ	Heat,1
1557,âƒ	Once,3
1558,âƒ	Pressure,1
1559,"â‚¹30,",1
1560,âœ…âœ….,1
1561,âœ‹.Keep,1
1562,âœ¨,1
1563,âœ¨âœ¨,1
1564,ğŸŒˆğŸ‰Not,1
1565,ğŸŒ¡ï¸.Mandatory,1
1566,ğŸ”,1
1567,ğŸ—,1
1568,ğŸŸğŸ¥¤ğŸ®,1
1569,ğŸ¨Get,1
1570,ğŸ¸,1
1571,ğŸ’ƒğŸ•º,1
1572,ğŸ’ª,1
1573,ğŸ’¯,1
1574,ğŸ“‹.Plan,1
1575,ğŸ“,1
1576,ğŸ—£ï¸.Reach,1
1577,ğŸ˜.,1
1578,ğŸ˜‹,1
1579,ğŸ˜­ğŸ˜­Tune,1
1580,ğŸ™ˆ.Whether,1
1581,ğŸ¤—ğŸ¤—,1
1582,ğŸ¤—ğŸ¤—.,1
1583,ğŸ¤·â€â™€ï¸.Share,1
1584,ğŸ¥­ğŸ¹,1
1585,ğŸ¥³ğŸ¥³,1
1586,ğŸ§¼.Now,1
